STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00025333,"SITKA AIRPORT, AK US",1/1/2021,42,44,40
USW00025333,"SITKA AIRPORT, AK US",1/2/2021,39.5,44,35
USW00025333,"SITKA AIRPORT, AK US",1/3/2021,39.5,43,36
USW00025333,"SITKA AIRPORT, AK US",1/4/2021,42,45,39
USW00025333,"SITKA AIRPORT, AK US",1/5/2021,42.5,45,40
USW00025333,"SITKA AIRPORT, AK US",1/6/2021,41.5,44,39
USW00025333,"SITKA AIRPORT, AK US",1/7/2021,45,48,42
USW00025333,"SITKA AIRPORT, AK US",1/8/2021,42.5,48,37
USW00025333,"SITKA AIRPORT, AK US",1/9/2021,42,46,38
USW00025333,"SITKA AIRPORT, AK US",1/10/2021,43.5,46,41
USW00025333,"SITKA AIRPORT, AK US",1/11/2021,41,44,38
USW00025333,"SITKA AIRPORT, AK US",1/12/2021,39,44,34
USW00025333,"SITKA AIRPORT, AK US",1/13/2021,36.5,39,34
USW00025333,"SITKA AIRPORT, AK US",1/14/2021,42,47,37
USW00025333,"SITKA AIRPORT, AK US",1/15/2021,44.5,48,41
USW00025333,"SITKA AIRPORT, AK US",1/16/2021,44.5,47,42
USW00025333,"SITKA AIRPORT, AK US",1/17/2021,42.5,46,39
USW00025333,"SITKA AIRPORT, AK US",1/18/2021,44.5,48,41
USW00025333,"SITKA AIRPORT, AK US",1/19/2021,39,42,36
USW00025333,"SITKA AIRPORT, AK US",1/20/2021,37,38,36
USW00025333,"SITKA AIRPORT, AK US",1/21/2021,37.5,41,34
USW00025333,"SITKA AIRPORT, AK US",1/22/2021,37,40,34
USW00025333,"SITKA AIRPORT, AK US",1/23/2021,36.5,38,35
USW00025333,"SITKA AIRPORT, AK US",1/24/2021,34.5,39,30
USW00025333,"SITKA AIRPORT, AK US",1/25/2021,32.5,37,28
USW00025333,"SITKA AIRPORT, AK US",1/26/2021,30,36,24
USW00025333,"SITKA AIRPORT, AK US",1/27/2021,26.5,30,23
USW00025333,"SITKA AIRPORT, AK US",1/28/2021,29,36,22
USW00025333,"SITKA AIRPORT, AK US",1/29/2021,36.5,40,33
USW00025333,"SITKA AIRPORT, AK US",1/30/2021,37.5,42,33
USW00025333,"SITKA AIRPORT, AK US",1/31/2021,36,43,29
USW00025333,"SITKA AIRPORT, AK US",2/1/2021,34.5,38,31
USW00025333,"SITKA AIRPORT, AK US",2/2/2021,33.5,38,29
USW00025333,"SITKA AIRPORT, AK US",2/3/2021,36.5,40,33
USW00025333,"SITKA AIRPORT, AK US",2/4/2021,36.5,39,34
USW00025333,"SITKA AIRPORT, AK US",2/5/2021,35.5,37,34
USW00025333,"SITKA AIRPORT, AK US",2/6/2021,33,37,29
USW00025333,"SITKA AIRPORT, AK US",2/7/2021,31.5,36,27
USW00025333,"SITKA AIRPORT, AK US",2/8/2021,23,30,16
USW00025333,"SITKA AIRPORT, AK US",2/9/2021,15,17,13
USW00025333,"SITKA AIRPORT, AK US",2/10/2021,21,30,12
USW00025333,"SITKA AIRPORT, AK US",2/11/2021,30.5,37,24
USW00025333,"SITKA AIRPORT, AK US",2/12/2021,34,39,29
USW00025333,"SITKA AIRPORT, AK US",2/13/2021,32,38,26
USW00025333,"SITKA AIRPORT, AK US",2/14/2021,33.5,37,30
USW00025333,"SITKA AIRPORT, AK US",2/15/2021,30.5,35,26
USW00025333,"SITKA AIRPORT, AK US",2/16/2021,33.5,38,29
USW00025333,"SITKA AIRPORT, AK US",2/17/2021,38.5,43,34
USW00025333,"SITKA AIRPORT, AK US",2/18/2021,40.5,43,38
USW00025333,"SITKA AIRPORT, AK US",2/19/2021,36.5,42,31
USW00025333,"SITKA AIRPORT, AK US",2/20/2021,37.5,44,31
USW00025333,"SITKA AIRPORT, AK US",2/21/2021,40.5,44,37
USW00025333,"SITKA AIRPORT, AK US",2/22/2021,37.5,42,33
USW00025333,"SITKA AIRPORT, AK US",2/23/2021,35,38,32
USW00025333,"SITKA AIRPORT, AK US",2/24/2021,36.5,39,34
USW00025333,"SITKA AIRPORT, AK US",2/25/2021,38.5,42,35
USW00025333,"SITKA AIRPORT, AK US",2/26/2021,40,43,37
USW00025333,"SITKA AIRPORT, AK US",2/27/2021,40,44,36
USW00025333,"SITKA AIRPORT, AK US",2/28/2021,39.5,45,34
USW00025333,"SITKA AIRPORT, AK US",3/1/2021,37.5,41,34
USW00025333,"SITKA AIRPORT, AK US",3/2/2021,37,41,33
USW00025333,"SITKA AIRPORT, AK US",3/3/2021,36.5,41,32
USW00025333,"SITKA AIRPORT, AK US",3/4/2021,38,43,33
USW00025333,"SITKA AIRPORT, AK US",3/5/2021,39.5,43,36
USW00025333,"SITKA AIRPORT, AK US",3/6/2021,39,43,35
USW00025333,"SITKA AIRPORT, AK US",3/7/2021,42.5,47,38
USW00025333,"SITKA AIRPORT, AK US",3/8/2021,35,40,30
USW00025333,"SITKA AIRPORT, AK US",3/9/2021,34.5,41,28
USW00025333,"SITKA AIRPORT, AK US",3/10/2021,38,40,36
USW00025333,"SITKA AIRPORT, AK US",3/11/2021,36.5,41,32
USW00025333,"SITKA AIRPORT, AK US",3/12/2021,33,37,29
USW00025333,"SITKA AIRPORT, AK US",3/13/2021,31,35,27
USW00025333,"SITKA AIRPORT, AK US",3/14/2021,28.5,34,23
USW00025333,"SITKA AIRPORT, AK US",3/15/2021,36,40,32
USW00025333,"SITKA AIRPORT, AK US",3/16/2021,37.5,42,33
USW00025333,"SITKA AIRPORT, AK US",3/17/2021,39,43,35
USW00025333,"SITKA AIRPORT, AK US",3/18/2021,35.5,40,31
USW00025333,"SITKA AIRPORT, AK US",3/19/2021,33.5,37,30
USW00025333,"SITKA AIRPORT, AK US",3/20/2021,34,39,29
USW00025333,"SITKA AIRPORT, AK US",3/21/2021,39,43,35
USW00025333,"SITKA AIRPORT, AK US",3/22/2021,39,42,36
USW00025333,"SITKA AIRPORT, AK US",3/23/2021,39.5,42,37
USW00025333,"SITKA AIRPORT, AK US",3/24/2021,38,40,36
USW00025333,"SITKA AIRPORT, AK US",3/25/2021,38,41,35
USW00025333,"SITKA AIRPORT, AK US",3/26/2021,38.5,42,35
USW00025333,"SITKA AIRPORT, AK US",3/27/2021,35.5,39,32
USW00025333,"SITKA AIRPORT, AK US",3/28/2021,36,41,31
USW00025333,"SITKA AIRPORT, AK US",3/29/2021,36.5,41,32
USW00025333,"SITKA AIRPORT, AK US",3/30/2021,39,41,37
USW00025333,"SITKA AIRPORT, AK US",3/31/2021,37,41,33
USW00025333,"SITKA AIRPORT, AK US",4/1/2021,33.5,36,31
USW00025333,"SITKA AIRPORT, AK US",4/2/2021,35.5,38,33
USW00025333,"SITKA AIRPORT, AK US",4/3/2021,36.5,41,32
USW00025333,"SITKA AIRPORT, AK US",4/4/2021,38,41,35
USW00025333,"SITKA AIRPORT, AK US",4/5/2021,37,40,34
USW00025333,"SITKA AIRPORT, AK US",4/6/2021,35,38,32
USW00025333,"SITKA AIRPORT, AK US",4/7/2021,35.5,41,30
USW00025333,"SITKA AIRPORT, AK US",4/8/2021,35,39,31
USW00025333,"SITKA AIRPORT, AK US",4/9/2021,35.5,39,32
USW00025333,"SITKA AIRPORT, AK US",4/10/2021,33,36,30
USW00025333,"SITKA AIRPORT, AK US",4/11/2021,36,41,31
USW00025333,"SITKA AIRPORT, AK US",4/12/2021,39,41,37
USW00025333,"SITKA AIRPORT, AK US",4/13/2021,42,45,39
USW00025333,"SITKA AIRPORT, AK US",4/14/2021,42.5,45,40
USW00025333,"SITKA AIRPORT, AK US",4/15/2021,43.5,48,39
USW00025333,"SITKA AIRPORT, AK US",4/16/2021,43,50,36
USW00025333,"SITKA AIRPORT, AK US",4/17/2021,46.5,56,37
USW00025333,"SITKA AIRPORT, AK US",4/18/2021,54,67,41
USW00025333,"SITKA AIRPORT, AK US",4/19/2021,53.5,61,46
USW00025333,"SITKA AIRPORT, AK US",4/20/2021,46.5,51,42
USW00025333,"SITKA AIRPORT, AK US",4/21/2021,49,57,41
USW00025333,"SITKA AIRPORT, AK US",4/22/2021,44.5,52,37
USW00025333,"SITKA AIRPORT, AK US",4/24/2021,52.5,63,42
USW00025333,"SITKA AIRPORT, AK US",4/25/2021,50.5,60,41
USW00025333,"SITKA AIRPORT, AK US",4/26/2021,46,53,39
USW00025333,"SITKA AIRPORT, AK US",4/27/2021,47.5,50,45
USW00025333,"SITKA AIRPORT, AK US",4/28/2021,47.5,51,44
USW00025333,"SITKA AIRPORT, AK US",4/29/2021,46,48,44
USW00025333,"SITKA AIRPORT, AK US",4/30/2021,45,47,43
USW00025333,"SITKA AIRPORT, AK US",5/1/2021,42.5,48,37
USW00025333,"SITKA AIRPORT, AK US",5/2/2021,44,50,38
USW00025333,"SITKA AIRPORT, AK US",5/3/2021,46.5,49,44
USW00025333,"SITKA AIRPORT, AK US",5/4/2021,45,48,42
USW00025333,"SITKA AIRPORT, AK US",5/5/2021,48,55,41
USW00025333,"SITKA AIRPORT, AK US",5/6/2021,54.5,63,46
USW00025333,"SITKA AIRPORT, AK US",5/7/2021,50.5,56,45
USW00025333,"SITKA AIRPORT, AK US",5/8/2021,48,50,46
USW00025333,"SITKA AIRPORT, AK US",5/9/2021,46,49,43
USW00025333,"SITKA AIRPORT, AK US",5/10/2021,47,52,42
USW00025333,"SITKA AIRPORT, AK US",5/11/2021,47,49,45
USW00025333,"SITKA AIRPORT, AK US",5/12/2021,46,49,43
USW00025333,"SITKA AIRPORT, AK US",5/13/2021,45,47,43
USW00025333,"SITKA AIRPORT, AK US",5/14/2021,47,49,45
USW00025333,"SITKA AIRPORT, AK US",5/15/2021,45,48,42
USW00025333,"SITKA AIRPORT, AK US",5/16/2021,44,49,39
USW00025333,"SITKA AIRPORT, AK US",5/17/2021,44,52,36
USW00025333,"SITKA AIRPORT, AK US",5/18/2021,47,56,38
USW00025333,"SITKA AIRPORT, AK US",5/19/2021,51.5,57,46
USW00025333,"SITKA AIRPORT, AK US",5/20/2021,46.5,52,41
USW00025333,"SITKA AIRPORT, AK US",5/21/2021,50,53,47
USW00025333,"SITKA AIRPORT, AK US",5/22/2021,47,49,45
USW00025333,"SITKA AIRPORT, AK US",5/23/2021,48.5,53,44
USW00025333,"SITKA AIRPORT, AK US",5/24/2021,47,50,44
USW00025333,"SITKA AIRPORT, AK US",5/25/2021,47,51,43
USW00025333,"SITKA AIRPORT, AK US",5/26/2021,48,51,45
USW00025333,"SITKA AIRPORT, AK US",5/27/2021,47.5,51,44
USW00025333,"SITKA AIRPORT, AK US",5/28/2021,47,49,45
USW00025333,"SITKA AIRPORT, AK US",5/29/2021,52,57,47
USW00025333,"SITKA AIRPORT, AK US",5/30/2021,54,58,50
USW00025333,"SITKA AIRPORT, AK US",5/31/2021,54.5,58,51
USW00025333,"SITKA AIRPORT, AK US",6/1/2021,53,56,50
USW00025333,"SITKA AIRPORT, AK US",6/2/2021,51,53,49
USW00025333,"SITKA AIRPORT, AK US",6/3/2021,49,51,47
USW00025333,"SITKA AIRPORT, AK US",6/4/2021,51.5,56,47
